card_id_a,card_id_b,card_id_c,image_id,location_id,description,street_number,street,city,county,latitude,longitude,notes
D32,3002,2,1,1,University of Tampa,,,Tampa,Hillsborough,27.947545,-82.475473,
D32,3002,3,1,1,University of Tampa,,,Tampa,Hillsborough,27.947545,-82.491811,
D32,3003,0,1,1,"Tampa, FL",,,Tampa,Hillsborough,27.949364,-82.454,
D32,3004,0,1,1,"Tampa, FL",,,Tampa,Hillsborough,27.949364,-82.454,
D32,3005,0,1,1,Bayshore Boulevard,,Bayshore Boulevard,Tampa,Hillsborough,27.930411,-82.454,
D32,3006,0,1,1,Sunset Beach,,,Tampa,Hillsborough,27.9200209,-82.454,
D32,3007,0,1,1,Italian Club,,,Tampa,Hillsborough,27.960108,-82.451389,
D32,3008,0,1,1,Harbour House,2401,Bayshore Boulevard,Tampa,Hillsborough,27.925679,-82.464022,
D32,3009,0,1,1,Tampa Bay Hotel,,,Tampa,Hillsborough,27.946756,-82.464022,
D32,3010,0,1,1,Tampa Bay Hotel,,,Tampa,Hillsborough,27.946756,-82.464022,
D32,3011,0,1,1,Tampa Bay Hotel,,,Tampa,Hillsborough,27.946756,-82.5130815,
D32,3012,0,1,1,Memorial Hospital of Tampa,2901,Swann Avenue,Tampa,Hillsborough,27.937912,-82.5130815,
D32,3013,0,1,1,The Edgewater,600,Magnolia Avenue,Tampa,Hillsborough,27.938601,-82.628648,
D32,379,0,1,1,Tampa Bay Hotel,,,Tampa,Hillsborough,27.946756,-82.628648,
D32,381,0,1,1,Church of the Sacred Heart,,,Tampa,Hillsborough,27.9102675,-82.628648,
D32,383,0,1,1,First Congregational Church,,,Tampa,Hillsborough,27.949905,-82.463874,
D32,385,1,1,1,The Bay View Hotel,,,Tampa,Hillsborough,27.9466205,-82.463874,
D32,385,2,1,1,The Bay View Hotel,,,Tampa,Hillsborough,27.9466205,-82.586416,
D32,385,3,1,1,The Bay View Hotel,,,Tampa,Hillsborough,27.9466205,-82.586416,
D32,387,1,1,1,New City Hall,,,Tampa,Hillsborough,27.947222,-82.115332,
D32,387,2,1,1,New City Hall,,,Tampa,Hillsborough,27.947222,-82.456601,
D32,387,3,1,1,New City Hall,,,Tampa,Hillsborough,27.947222,-82.464194,
D32,389,0,1,1,Stovall Office Building,416,Tampa Street,Tampa,Hillsborough,27.9477211,-82.456601,
D32,391,0,1,1,TAMPA ALLIGATOR FARM,,,Sulphur Springs,Hillsborough,28.020833,-82.421093,
D32,393,1,1,1,The Bridge at Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.421093,
D32,393,2,1,1,The Bridge at Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.485736,
D32,397,0,1,1,Davis Islands,,,Davis Island,Hillsborough,27.921944,-82.456601,
D32,401,1,1,1,Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.456601,
D32,401,2,1,1,Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.464022,
D32,401,0,1,1,Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.456763,
D32,402,0,1,1,Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.45607,
D32,405,0,1,1,Tampa Bay Hotel,,,Tampa,Hillsborough,27.946538,-82.115332,
D32,407,1,1,1,Tampa Bay Hotel and Plant Park,,West Kennedy Boulevard,Tampa,Hillsborough,27.9466288,-82.115332,
D32,407,2,1,1,Tampa Bay Hotel and Plant Park,,West Kennedy Boulevard,Tampa,Hillsborough,27.9466288,-82.464022,
D32,407,3,1,1,Tampa Bay Hotel and Plant Park,,West Kennedy Boulevard,Tampa,Hillsborough,27.9466288,-82.464022,
D32,409,1,1,1,The Dam at Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.457219,
D32,409,2,1,1,The Dam at Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.459118,
D32,409,3,1,1,The Dam at Sulphur Springs,,,Sulphur Springs,Hillsborough,28.020833,-82.467878,
D32,411,1,1,1,Tampa City Hall,315,East Kennedy Boulevad,Tampa,Hillsborough,27.9477731,-82.467878,
D32,411,2,1,1,Tampa City Hall,315,East Kennedy Boulevad,Tampa,Hillsborough,27.9477731,-82.723562,
D32,413,0,1,1,Sunset Beach,,,Tampa,Hillsborough,27.9200209,-82.723562,
D32,428,0,1,1,"Palm Avenue, Tampa Bay Hotel",,,Tampa,Hillsborough,27.946756,-82.723562,
